,20
1-2,253
1-3,791
1-4,917
1-5,45
1-6,485
1-7,727
1-8,754
1-9,692
1-10,482
1-11,893
1-12,300
1-13,901
1-14,515
1-15,573
1-16,718
1-17,241
1-18,465
1-19,724
1-20,737
2-3,306
2-4,86
2-5,713
2-6,928
2-7,276
2-8,419
2-9,537
2-10,970
2-11,925
2-12,135
2-13,765
2-14,457
2-15,426
2-16,312
2-17,187
2-18,35
2-19,179
2-20,189
3-4,368
3-5,704
3-6,741
3-7,724
3-8,106
3-9,944
3-10,888
3-11,353
3-12,78
3-13,882
3-14,742
3-15,236
3-16,799
3-17,142
3-18,920
3-19,381
3-20,406
4-5,127
4-6,631
4-7,493
4-8,648
4-9,469
4-10,714
4-11,82
4-12,920
4-13,62
4-14,667
4-15,348
4-16,121
4-17,611
4-18,822
4-19,631
4-20,629
5-6,931
5-7,962
5-8,769
5-9,684
5-10,244
5-11,830
5-12,532
5-13,66
5-14,630
5-15,190
5-16,389
5-17,984
5-18,356
5-19,303
5-20,304
6-7,779
6-8,249
6-9,980
6-10,881
6-11,126
6-12,467
6-13,619
6-14,154
6-15,158
6-16,963
6-17,986
6-18,567
6-19,104
6-20,723
7-8,839
7-9,173
7-10,802
7-11,375
7-12,885
7-13,905
7-14,711
7-15,71
7-16,965
7-17,849
7-18,857
7-19,659
7-20,818
8-9,782
8-10,480
8-11,17
8-12,248
8-13,930
8-14,22
8-15,96
8-16,24
8-17,765
8-18,489
8-19,653
8-20,395
9-10,915
9-11,162
9-12,852
9-13,657
9-14,718
9-15,82
9-16,960
9-17,821
9-18,715
9-19,724
9-20,97
10-11,67
10-12,453
10-13,833
10-14,590
10-15,324
10-16,265
10-17,387
10-18,822
10-19,25
10-20,319
11-12,316
11-13,596
11-14,800
11-15,131
11-16,651
11-17,923
11-18,650
11-19,887
11-20,491
12-13,855
12-14,895
12-15,384
12-16,296
12-17,439
12-18,63
12-19,149
12-20,784
13-14,358
13-15,84
13-16,785
13-17,666
13-18,923
13-19,864
13-20,223
14-15,507
14-16,979
14-17,406
14-18,55
14-19,413
14-20,324
15-16,166
15-17,768
15-18,437
15-19,684
15-20,838
16-17,703
16-18,642
16-19,51
16-20,728
17-18,787
17-19,551
17-20,680
18-19,126
18-20,811
19-20,768